,Name,Type,Fare,Start,End,Time,Ratings,Seats,Links,Route
0,FRESHBUS,Electric A/C Seater (2+2),649.0,23:10,05:35,06h 25m,4.6,19 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
1,FRESHBUS,Electric A/C Seater (2+2),499.0,11:05,17:40,06h 35m,4.6,28 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
2,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),511.0,23:50,05:35,05h 45m,4.4,42 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
3,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),919.0,23:59,06:30,06h 31m,4.5,28 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
4,FRESHBUS,Electric A/C Seater (2+2),499.0,12:45,19:25,06h 40m,4.5,28 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
5,FRESHBUS,Electric A/C Seater (2+2),499.0,23:40,05:55,06h 15m,4.5,29 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
6,IntrCity SmartBus,A/C Seater / Sleeper (2+1),507.0,23:05,05:20,06h 15m,4.5,42 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
7,GMRK Tours and Travels,Volvo A/C Semi Sleeper (2+2),499.0,23:45,05:25,05h 40m,4.5,30 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
8,NueGo,Electric A/C Seater (2+2),475.0,22:30,06:00,07h 30m,4.4,17 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
9,FRESHBUS,Electric A/C Seater (2+2),499.0,22:25,04:55,06h 30m,4.4,30 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
10,FRESHBUS,Electric A/C Seater (2+2),499.0,00:20,06:30,06h 10m,4.5,33 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
11,IntrCity SmartBus,A/C Seater / Sleeper (2+1),480.0,23:05,06:00,06h 55m,4.4,42 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
12,Zingbus Plus,A/C Seater / Sleeper (2+1),516.0,23:38,06:05,06h 27m,4.5,28 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
13,NueGo,Electric A/C Seater (2+2),664.0,22:35,05:15,06h 40m,4.5,22 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
14,Zingbus Plus,A/C Sleeper (2+1),478.0,18:30,23:45,05h 15m,4.5,26 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
15,Svkdt travels,A/C Sleeper (2+1),789.0,23:35,05:50,06h 15m,4.4,20 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
16,FRESHBUS,Electric A/C Seater (2+2),499.0,11:30,18:05,06h 35m,4.5,38 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
17,NueGo,Electric A/C Seater (2+2),664.0,06:00,12:20,06h 20m,4.4,9 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
18,FRESHBUS,Electric A/C Seater (2+2),499.0,16:25,23:10,06h 45m,4.5,35 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
19,NueGo,Electric A/C Seater/Sleeper (2+1),506.0,22:00,05:10,07h 10m,4.4,19 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
20,FRESHBUS,Electric A/C Seater (2+2),549.0,05:50,11:45,05h 55m,4.5,25 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
21,NueGo,Electric A/C Seater/Sleeper (2+1),567.0,23:00,06:00,07h 00m,4.3,23 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
22,Sri KVR Travels,A/C Sleeper (2+1),950.0,23:35,05:15,05h 40m,4.4,26 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
23,IntrCity SmartBus,AC Sleeper (2+1),793.0,23:25,06:05,06h 40m,4.3,27 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
24,IntrCity SmartBus,AC Sleeper (2+1),878.0,23:30,06:45,07h 15m,4.5,25 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
25,FRESHBUS,Electric A/C Seater (2+2),499.0,12:30,19:05,06h 35m,4.4,39 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
26,NueGo,Electric A/C Seater (2+2),356.0,16:00,23:00,07h 00m,4.3,23 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
27,KPS Buses,A/C Sleeper (2+1),898.0,21:05,04:30,07h 25m,0.0,28 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
28,NueGo,Electric A/C Seater (2+2),474.0,13:30,20:10,06h 40m,4.3,22 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
29,NueGo,Electric A/C Seater (2+2),664.0,05:00,11:05,06h 05m,4.3,4 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
30,NueGo,Electric A/C Seater (2+2),474.0,12:00,18:25,06h 25m,4.3,18 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
31,NueGo,Electric A/C Seater (2+2),854.0,23:15,06:35,07h 20m,4.5,14 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
32,Sri Durga Malleswari Travels,A/C Sleeper (2+1),1100.0,23:10,05:25,06h 15m,4.3,22 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
33,NueGo,Electric A/C Seater (2+2),458.0,10:00,16:25,06h 25m,4.2,12 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
34,Svkdt travels,A/C Sleeper (2+1),789.0,23:35,05:50,06h 15m,4.2,25 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
35,Svkdt travels,A/C Seater / Sleeper (2+1),689.0,23:35,05:30,05h 55m,4.2,22 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
36,NueGo,Electric A/C Seater (2+2),474.0,21:30,04:20,06h 50m,4.1,23 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
37,NueGo,Electric A/C Seater (2+2),474.0,23:30,06:30,07h 00m,4.1,20 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
38,Sri Sanvi Tours and Travels,A/C Sleeper (2+1),1079.0,23:12,04:53,05h 41m,4.3,35 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
39,IntrCity SmartBus,A/C Seater / Sleeper (2+1),521.0,00:15,06:25,06h 10m,4.2,42 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
40,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),780.0,23:13,04:20,05h 07m,4.2,33 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
41,NueGo,Electric A/C Seater (2+2),664.0,23:50,06:30,06h 40m,4.1,17 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
42,NueGo,Electric A/C Seater (2+2),474.0,22:30,05:35,07h 05m,4.0,20 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
43,IntrCity SmartBus,A/C Seater / Sleeper (2+1),439.0,23:45,06:05,06h 20m,4.0,35 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
44,Sri Durga Malleswari Travels,A/C Sleeper (2+1),1100.0,23:10,04:35,05h 25m,4.2,22 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
45,NueGo,Electric A/C Seater (2+2),379.0,11:00,17:25,06h 25m,4.0,19 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
46,Tirumala Xpress,A/C Sleeper (2+1),999.0,23:00,05:50,06h 50m,3.9,28 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
47,NueGo,Electric A/C Seater (2+2),474.0,15:00,21:40,06h 40m,3.9,25 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
48,NueGo,Electric A/C Seater/Sleeper (2+1),379.0,10:30,17:05,06h 35m,4.0,19 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
49,IntrCity SmartBus,AC Sleeper (2+1),833.0,22:45,05:50,07h 05m,3.9,27 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
50,PRK Travels,Non A/C Seater / Sleeper (2+1),669.0,22:13,05:25,07h 12m,3.9,18 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
51,NueGo,Electric A/C Seater (2+2),522.0,11:30,18:10,06h 40m,4.1,14 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
52,Sri KVR Travels,NON A/C Sleeper (2+1),890.0,23:01,05:31,06h 30m,4.0,30 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
53,FRESHBUS,Electric A/C Seater (2+2),649.0,04:20,10:00,05h 40m,4.6,19 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
54,LVR Travels,Non A/C Seater / Sleeper (2+1),669.0,23:37,05:45,06h 08m,3.9,24 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
55,V Kaveri Travels,A/C Seater / Sleeper (2+1),700.0,23:00,04:15,05h 15m,4.0,27 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
56,Zingbus Plus,A/C Seater / Sleeper (2+1),438.0,23:03,05:30,06h 27m,5.0,31 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
57,Yolo Bus,A/C Seater / Sleeper (2+1),480.0,22:46,05:24,06h 38m,3.8,28 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
58,Go Tour Travels and Holidays,A/C Seater / Sleeper (2+1),1049.0,22:48,04:15,05h 27m,4.5,27 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
59,NueGo,Electric A/C Seater (2+2),759.0,22:00,05:20,07h 20m,3.9,22 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
60,LVP Travels,A/C Seater / Sleeper (2+1),680.0,22:19,04:45,06h 26m,3.8,30 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
61,Pavan Tours and Travels,A/C Sleeper (2+1),949.0,23:59,04:55,04h 56m,4.6,23 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
62,Sri Durga Malleswari Travels,A/C Seater / Sleeper (2+1),700.0,21:00,04:40,07h 40m,4.0,28 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
63,Anjani Bus,A/C Seater / Sleeper (2+1),549.0,22:45,04:40,05h 55m,3.6,27 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
64,NueGo,Electric A/C Seater (2+2),569.0,09:30,17:10,07h 40m,3.9,15 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
65,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),900.0,23:00,05:30,06h 30m,3.5,35 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
66,Orange Tours And Travels,A/C Sleeper (2+1),1400.0,22:25,04:45,06h 20m,3.5,30 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
67,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),900.0,22:00,05:30,07h 30m,3.3,37 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
68,IntrCity SmartBus,A/C Seater / Sleeper (2+1),1395.0,19:05,03:00,07h 55m,4.8,33 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
69,Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),1000.0,22:55,05:45,06h 50m,3.3,23 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
70,Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),1000.0,22:55,05:45,06h 50m,3.3,30 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
71,Nani Svkdt Travels,A/C Sleeper (2+1),1299.0,22:00,04:20,06h 20m,3.7,23 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
72,Kaveri Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),1190.0,21:30,03:30,06h 00m,3.9,22 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
73,Sri Venkata Padmavathi Travels,Non A/C Seater / Sleeper (2+1),550.0,22:42,06:00,07h 18m,3.5,36 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
74,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),900.0,22:10,04:35,06h 25m,3.7,24 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
75,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),800.0,23:00,06:00,07h 00m,3.2,37 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
76,IntrCity SmartBus,AC Sleeper (2+1),1403.0,20:40,03:30,06h 50m,5.0,29 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
77,Morning Star Travels,A/C Sleeper (2+1),790.0,23:05,05:20,06h 15m,3.2,25 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
78,Orange Tours And Travels,NON A/C Sleeper (2+1),900.0,22:55,05:45,06h 50m,3.5,32 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
79,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),1468.0,18:15,02:10,07h 55m,4.7,32 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
80,Go Bus Travels,Non A/C Seater / Sleeper (2+1),664.0,22:00,04:30,06h 30m,3.9,29 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
81,V Kaveri Travels,A/C Seater / Sleeper (2+1),700.0,22:00,05:00,07h 00m,3.9,22 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
82,IntrCity SmartBus,AC Sleeper (2+1),1609.0,16:40,00:20,07h 40m,4.8,30 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
83,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),890.0,22:22,04:30,06h 08m,3.5,30 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
84,Sai RK Travels,Non A/C Seater / Sleeper (2+1),560.0,23:00,04:35,05h 35m,3.9,32 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
85,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),900.0,23:00,05:30,06h 30m,3.3,32 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
86,Nani Svkdt Travels,A/C Sleeper (2+1),1199.0,23:20,04:30,05h 10m,3.5,25 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
87,Kaveri Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),1120.0,21:30,04:30,07h 00m,4.1,31 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
88,Sri Atluri Travels,A/C Seater / Sleeper (2+1),999.0,22:15,05:07,06h 52m,4.1,30 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
89,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),800.0,23:00,06:00,07h 00m,3.0,28 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
90,Holidays Tours and Travels,A/C Seater / Sleeper (2+1),902.0,22:40,04:24,05h 44m,4.8,25 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
91,Sri Sai Srinivasa Travels,Non A/C Seater / Sleeper (2+1),680.0,22:10,04:30,06h 20m,3.7,24 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
92,Sudha Sri Tours and Travels,A/C Sleeper (2+1),989.0,22:55,04:00,05h 05m,3.3,30 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
93,Sai RK Travels,Non A/C Seater / Sleeper (2+1),780.0,22:55,04:10,05h 15m,3.7,18 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
94,Royal Varma Travels,A/C Sleeper (2+1),1600.0,22:37,04:45,06h 08m,3.6,32 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
95,Orange Tours And Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),3200.0,13:50,21:00,07h 10m,3.6,22 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
96,BSR Tours And Travels,VE A/C Sleeper (2+1),1280.0,22:00,04:10,06h 10m,4.4,16 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
97,LVP Travels,A/C Seater / Sleeper (2+1),780.0,21:57,04:20,06h 23m,3.8,25 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
98,DSM TRAVELS,A/C Seater / Sleeper (2+1),770.0,21:40,04:10,06h 30m,0.0,27 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
99,KPS Buses,A/C Sleeper (2+1),1099.0,21:15,04:30,07h 15m,0.0,36 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
100,SREE CHAKRA TRAVELS,Non A/C Seater / Sleeper (2+1),5000.0,22:30,04:00,05h 30m,0.0,21 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
101,Amigos Travels,A/C Sleeper (2+1),849.0,22:10,04:30,06h 20m,0.0,25 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
102,Eswar Travels,A/C Seater / Sleeper (2+1),670.0,22:25,04:30,06h 05m,3.2,28 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
103,Sri Keerthana Sai Travels,A/C Sleeper (2+1),1450.0,14:45,23:45,09h 00m,4.5,29 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
104,Sri Siddi Ganapathi Travels,A/C Seater / Sleeper (2+1),585.0,21:30,04:30,07h 00m,0.0,18 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
105,SAMANVI CITICONNECT,Non A/C Seater / Sleeper (2+1),890.0,22:25,04:15,05h 50m,3.2,22 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
106,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),900.0,19:45,03:55,08h 10m,2.7,28 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
107,Go Tour Travels and Holidays,A/C Sleeper (2+1),1449.0,22:48,04:15,05h 27m,3.7,29 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
108,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),990.0,21:30,04:30,07h 00m,3.8,27 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
109,Chandu Travels,A/C Seater/Sleeper (2+1),741.0,22:45,04:30,05h 45m,3.6,29 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
110,Orange Tours And Travels,NON A/C Sleeper (2+1),1200.0,19:30,02:00,06h 30m,3.7,33 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
111,BSR Tours And Travels,A/C Seater / Sleeper (2+1),880.0,19:10,02:30,07h 20m,4.5,12 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
112,Sitara Travels,NON A/C Push Back (2+2),780.0,22:00,04:00,06h 00m,4.4,19 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
113,Srivastav Travels,A/C Sleeper (2+1),1199.0,21:35,04:20,06h 45m,4.0,25 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
114,V Kaveri Travels,A/C Sleeper (2+1),1330.0,22:20,04:30,06h 10m,3.7,26 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
115,Orange Tours And Travels,A/C Sleeper (2+1),1000.0,23:00,05:15,06h 15m,2.8,29 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
116,Mayuri Travels,A/C Sleeper (2+1),1450.0,22:00,03:30,05h 30m,4.1,35 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
117,SVR Tours and Travels,Volvo Multi Axle Sleeper B11R (2+1),2270.0,17:15,23:50,06h 35m,2.9,33 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
118,Sri Rama Travels,Non A/C Seater / Sleeper (2+1),888.0,22:40,04:15,05h 35m,4.3,24 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
119,YNR Travels,A/C Sleeper (2+1),854.0,00:15,06:10,05h 55m,3.6,27 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
120,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),780.0,22:44,03:35,04h 51m,3.9,27 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
121,Srivastav Travels,Non A/C Seater / Sleeper (2+1),889.0,21:35,03:30,05h 55m,3.5,27 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
122,Sai Srinivasa Travels,A/C Sleeper (2+1),1100.0,22:35,04:15,05h 40m,3.2,22 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
123,Navayuga Travels,NON AC Seater / Sleeper 2+1,780.0,21:50,04:10,06h 20m,3.7,29 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
124,Mayuri Travels,Non A/C Seater / Sleeper (2+1),810.0,22:10,04:00,05h 50m,4.0,37 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
125,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),1290.0,16:20,23:15,06h 55m,3.8,33 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
126,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),890.0,22:20,04:45,06h 25m,3.3,31 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
127,Jagan Travels,Non A/C Seater / Sleeper (2+1),850.0,14:15,22:00,07h 45m,3.5,23 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
128,Sai Sri Durga Travels,Non A/C Seater / Sleeper (2+1),3000.0,23:20,05:45,06h 25m,2.8,40 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
129,Morning Star Travels,A/C Sleeper (2+1),600.0,06:25,12:20,05h 55m,2.3,17 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
130,Prasanna Travels,A/C Seater / Sleeper (2+1),600.0,23:50,05:45,05h 55m,2.5,34 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
131,Orange Tours And Travels,A/C Seater / Sleeper (2+1),2000.0,17:00,01:00,08h 00m,3.2,27 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
132,KKaveri Travels,Non A/C Seater / Sleeper (2+1),890.0,19:22,02:30,07h 08m,4.1,24 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
133,SLGT Travels,A/C Seater/Sleeper (2+1),890.0,22:40,04:30,05h 50m,3.8,32 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
134,Sri Rama Travels,A/C Seater / Sleeper (2+1),999.0,22:25,04:15,05h 50m,3.9,32 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
135,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),1400.0,14:59,23:05,08h 06m,4.1,17 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
